Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
ONGC.NS,ENERGY,243.8699951171875,0.737,0.5,0.391,3,25,37,49.52,32.13,0.46,34,75,22,103,20.1
IPCALAB.NS,UNKNOWN,1474.0999755859375,0.656,0.5,0.386,1,31,64,54.73,33.51,0.69,53,75,15,153,20.1
CANFINHOME.NS,UNKNOWN,818.7000122070312,0.615,0.5,0.384,0,24,73,61.59,22.24,0.31,41,59,23,137,20.1
BALRAMCHIN.NS,UNKNOWN,615.2000122070312,0.615,0.5,0.383,0,39,54,61.73,43.84,0.58,29,66,21,121,20.1
GRAPHITE.NS,UNKNOWN,568.2507934570312,0.611,0.5,0.37,0,44,53,62.2,25.31,1.17,39,72,15,128,20.1
GULFOILLUB.NS,UNKNOWN,1252.9000244140625,0.656,0.75,0.388,1,16,19,56.41,76.86,0.52,34,27,7,71,11.0
HEG.NS,UNKNOWN,550.4500122070312,0.605,0.5,0.351,0,42,65,63.1,61.1,1.17,44,70,15,134,20.1
TATAPOWER.NS,ENERGY,413.45001220703125,0.772,0.5,0.372,4,33,45,57.55,39.4,0.96,34,69,17,111,20.1
MFSL.NS,UNKNOWN,1537.5999755859375,0.638,0.5,0.461,0,26,48,68.15,63.0,0.84,33,62,14,128,20.1
ANANTRAJ.NS,UNKNOWN,600.677001953125,0.619,0.75,0.396,0,30,67,55.41,109.73,1.88,35,62,18,83,18.9
PEL.NS,UNKNOWN,1339.300048828125,0.628,0.5,0.428,0,16,50,74.16,36.11,3.6,51,61,17,138,20.1
CAMS.NS,UNKNOWN,4220.083984375,0.512,0.5,0.373,1,3,9,54.97,43.25,0.56,12,18,0,14,4.8
AJANTPHARM.NS,PHARMA,2786.39990234375,0.617,0.75,0.39,0,25,82,55.95,49.99,2.11,40,65,16,140,20.1
